iter	RMSE
0	1.390034685
1	1.377115739
2	1.360731329
3	1.349744981
4	1.334393393
5	1.321898394
6	1.306443262
7	1.293029675
8	1.279159442
9	1.268577237
10	1.255273761
11	1.245312547
12	1.23639858
13	1.226288341
14	1.216913991
15	1.206608686
16	1.197515994
17	1.189241405
18	1.179119039
19	1.169181128
20	1.160354711
21	1.149646439
22	1.139810946
23	1.131426626
24	1.123135877
25	1.117549287
26	1.109854365
27	1.101618401
28	1.094281506
29	1.087653489
30	1.080349602
31	1.072033291
32	1.065620007
33	1.060413783
34	1.055856536
35	1.050237285
36	1.043824137
37	1.036558073
38	1.032797305
39	1.028072814
40	1.022229316
41	1.016362831
42	1.011634672
43	1.009088729
44	1.005402038
45	1.000203584
46	0.9946227546
47	0.9900512543
48	0.9849400116
49	0.9809908191
50	0.978384429
51	0.9740145932
52	0.9691823722
53	0.9656576669
54	0.9616795056
55	0.9577842732
56	0.9525851756
57	0.9481738493
58	0.9444678864
59	0.9396561689
60	0.9376274012
61	0.9340757082
62	0.9309686038
63	0.9249910794
64	0.9227812967
65	0.9195061689
66	0.9170111861
67	0.9150540494
68	0.9136419113
69	0.9105504288
70	0.9094101137
71	0.9051350969
72	0.9022874564
73	0.9005597326
74	0.8987886303
75	0.8960445375
76	0.8935753697
77	0.8904261058
78	0.8869290802
79	0.8843673594
80	0.8817169451
81	0.8797112385
82	0.8772138186
83	0.8730662898
84	0.8707625135
85	0.8694114272
86	0.8657457852
87	0.8635520895
88	0.862484654
89	0.8606521539
90	0.858225875
91	0.8558139705
92	0.8510273886
93	0.8484558326
94	0.8448926785
95	0.8434464049
96	0.839942973
97	0.8375269747
98	0.8361205086
99	0.8322741362
100	0.8306590627
101	0.8283216934
102	0.8272633601
103	0.8257190258
104	0.8242627899
105	0.8226800427
106	0.8214093361
107	0.8185745345
108	0.8174778327
109	0.8159151803
110	0.8143197844
111	0.8124953344
112	0.8109287945
113	0.8098658242
114	0.8082957609
115	0.8078125149
116	0.8069355858
117	0.805311957
118	0.8037114204
119	0.8023963916
120	0.801586604
121	0.8000522546
122	0.7989510614
123	0.7975219815
124	0.7948463812
125	0.7935047924
126	0.792727139
127	0.7916424851
128	0.7891265496
129	0.787104965
130	0.7850861386
131	0.784242441
132	0.7826850173
133	0.779854358
134	0.778729841
135	0.7773116957
136	0.7766675575
137	0.7764003949
138	0.7740525964
139	0.7732312771
140	0.7721844057
141	0.7712338715
142	0.7703571027
143	0.76975947
144	0.7683596385
145	0.7670630956
146	0.765857195
147	0.763539697
148	0.7609815156
149	0.7592846992
150	0.758157761
151	0.7580147567
152	0.7548555276
153	0.7522471295
154	0.7494693851
155	0.7456951839
156	0.7448804611
157	0.7436373376
158	0.7429624363
159	0.7424037957
160	0.7416546441
161	0.738291423
162	0.7364406544
163	0.735351754
164	0.7337385186
165	0.7333057103
166	0.732860425
167	0.7320555236
168	0.7313194455
169	0.7309636265
170	0.7290999555
171	0.7274407729
172	0.7260118105
173	0.7246264738
174	0.7236101283
175	0.7227110125
176	0.7220755533
177	0.7216000747
178	0.7210379745
179	0.7206426343
180	0.719891723
181	0.7183368889
182	0.7170456375
183	0.7151337338
184	0.714527617
185	0.714078231
186	0.7126262139
187	0.7105076114
188	0.7093847038
189	0.7088188366
190	0.7082096346
191	0.7059879055
192	0.7055264617
193	0.7032442638
194	0.7027093547
195	0.7007041318
196	0.6984414626
197	0.6977309427
198	0.696408071
199	0.6959824877
200	0.6952855261
201	0.6928185043
202	0.6917014382
203	0.6911846505
204	0.690296496
205	0.6891994224
206	0.6884224623
207	0.6873763396
208	0.6872776724
209	0.6867265947
210	0.6861533841
211	0.6854806639
212	0.6850962547
213	0.6826106247
214	0.6821848715
215	0.6816476726
216	0.6808342148
217	0.6793141768
218	0.6788532868
219	0.6769240854
220	0.676225416
221	0.674960251
222	0.6746826323
223	0.673620665
224	0.6731596897
225	0.6727546032
226	0.6720872061
227	0.671243066
228	0.6710566674
229	0.6705286955
230	0.6696207299
231	0.6692673122
232	0.6686698375
233	0.6680733084
234	0.6674627292
235	0.6663699524
236	0.6647789211
237	0.6636566576
238	0.6623798454
239	0.6618704329
240	0.6613693956
241	0.6597722151
242	0.6594036449
243	0.65881217
244	0.6585745367
245	0.6584104417
246	0.6578577358
247	0.6564042129
248	0.6553410192
249	0.6546085076
250	0.6542367328
251	0.6535586113
252	0.6532816134
253	0.6518136222
254	0.6512911042
255	0.6506512417
256	0.6503065001
257	0.6499885898
258	0.6497284035
259	0.6492210703
260	0.6486339681
261	0.6473295778
262	0.6464564744
263	0.6461599345
264	0.6452462701
265	0.6438885811
266	0.643053903
267	0.6426309966
268	0.642180743
269	0.6406378958
270	0.6399938499
271	0.6387514584
272	0.6367682292
273	0.6359626953
274	0.6350608382
275	0.634754656
276	0.6344743283
277	0.633908903
278	0.6324198553
279	0.6318128091
280	0.6312544411
281	0.6309582941
282	0.6307031035
283	0.6294649397
284	0.6291036703
285	0.6285769256
286	0.6283476519
287	0.627582401
288	0.6270322378
289	0.6258602567
290	0.6254779874
291	0.6246215708
292	0.6230919366
293	0.6226477384
294	0.622214926
295	0.6213773272
296	0.6210023083
297	0.6195201908
298	0.6185664018
299	0.6177082479
300	0.6162299635
301	0.6159291435
302	0.6152824756
303	0.6147508694
304	0.6127244528
305	0.612160564
306	0.6114333051
307	0.6102195621
308	0.6096323831
309	0.6082035888
310	0.6067305074
311	0.6056658906
312	0.6046162825
313	0.6036568558
314	0.6021009776
315	0.6019045774
316	0.6015622216
317	0.601364371
318	0.6011510944
319	0.6001219683
320	0.5997898364
321	0.5985841572
322	0.5970808798
323	0.5963413891
324	0.595437025
325	0.593392634
326	0.5925535248
327	0.5916398422
328	0.5907804789
329	0.5901182697
330	0.5891665033
331	0.5879855413
332	0.587544096
333	0.5868402193
334	0.586403934
335	0.5859175975
336	0.5852201149
337	0.5839559156
338	0.5836618144
339	0.5826475899
340	0.5813703913
341	0.5810088563
342	0.580682009
343	0.5794551532
